2023.12.12.16.11,485480,231212,-2000,47271424    ,638749118598        
2023.12.12.16.11,485480,231212,-10000,48081127    ,638749162617        
2023.12.12.16.11,485480,231212,-4000,48070306    ,638749162058        
2023.12.12.16.10,485480,231212,10000,48081127    ,638749162617        
2023.12.12.16.09,485480,231212,4000,48070306    ,638749162058        
2023.12.12.16.03,485480,231212,-8000,47990709    ,638749157756        
2023.12.12.16.03,485480,231212,8000,47990709    ,638749157756        
2023.12.12.16.01,485480,231212,-8000,47963375    ,638749156306        
2023.12.12.16.00,485480,231212,8000,47963375    ,638749156306        
2023.12.12.15.00,485480,231212,2000,47271424    ,638749118598        
2023.12.12.14.45,485480,231212,-2000,47035306    ,638749105637        
2023.12.12.14.45,485480,231212,-2000,47083588    ,638749108344        
2023.12.12.14.45,485480,231212,-6000,47089481    ,638749108635        
2023.12.12.14.44,485480,231212,6000,47089481    ,638749108635        
2023.12.12.14.43,485480,231212,2000,47083588    ,638749108344        
2023.12.12.14.39,485480,231212,2000,47035306    ,638749105637        
